SEASON,TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2011-12,,202721,Darius,Morris,Darius Morris,PG-SG,75.25,6' 3.25'',77.25,6' 5.25'',190,79.5,6' 7.5'',102,8' 6'',5.3,8.75,10
2011-12,,202718,Chandler,Parsons,Chandler Parsons,SF,80.75,6' 8.75'',81.75,6' 9.75'',221.2,81.5,6' 9.5'',104.5,8' 8.5'',7,8.25,10
2011-12,,12436,Jereme,Richmond,Jereme Richmond,SF,78,6' 6'',79.25,6' 7.25'',207.2,82.25,6' 10.25'',106.5,8' 10.5'',5.5,8.75,9.5
2011-12,,202729,Josh,Selby,Josh Selby,SG-PG,73.75,6' 1.75'',75,6' 3'',194.6,77.25,6' 5.25'',98,8' 2'',7.9,8.5,9
2011-12,,202697,Iman,Shumpert,Iman Shumpert,PG-SG,76.25,6' 4.25'',77.5,6' 5.5'',221.8,81.5,6' 9.5'',99.5,8' 3.5'',6.5,9,9
2011-12,,202713,Kyle,Singler,Kyle Singler,SF,79.5,6' 7.5'',80.5,6' 8.5'',228,82.1,6' 10.1'',106,8' 10'',10,8.25,8.75
2011-12,,202698,Chris,Singleton,Chris Singleton,SF,79.75,6' 7.75'',81,6' 9'',230.2,85,7' 1'',103.5,8' 7.5'',7.4,9.25,10
2011-12,,12441,Jamie,Skeen,Jamie Skeen,PF,78.5,6' 6.5'',80,6' 8'',241.6,85.25,7' 1.25'',106.5,8' 10.5'',9.8,8.5,8.5
2011-12,,12442,Gregory,Smith,Gregory Smith,PF-C,80,6' 8'',81.25,6' 9.25'',252.8,86.5,7' 2.5'',106.5,8' 10.5'',7.4,9.75,12
2011-12,,202701,Nolan,Smith,Nolan Smith,PG,73.5,6' 1.5'',75.5,6' 3.5'',187.6,77.5,6' 5.5'',99,8' 3'',5.6,8.5,9.25
2011-12,,12445,Malcolm,Thomas,Malcolm Thomas,PF,79.5,6' 7.5'',80.75,6' 8.75'',223,84.5,7' 0.5'',107.5,8' 11.5'',5.9,9.5,10.5
2011-12,,202738,Isaiah,Thomas,Isaiah Thomas,PG,68.75,5' 8.75'',70.25,5' 10.25'',186,73.75,6' 1.75'',91.5,7' 7.5'',6.7,8.25,9
2011-12,,202717,Trey,Thompkins,Trey Thompkins,PF,80.5,6' 8.5'',81.75,6' 9.75'',239,85,7' 1'',107.5,8' 11.5'',15.5,9.25,9.75
2011-12,,202684,Tristan,Thompson,Tristan Thompson,PF,79.5,6' 7.5'',80.75,6' 8.75'',227.4,85.25,7' 1.25'',108.5,9' 0.5'',6.2,8.75,9.25
2011-12,,202691,Klay,Thompson,Klay Thompson,SG,77.75,6' 5.75'',79.25,6' 7.25'',205.6,81,6' 9'',103.5,8' 7.5'',8,8.75,9.25
2011-12,,202719,Jeremy,Tyler,Jeremy Tyler,PF-C,81,6' 9'',82.5,6' 10.5'',262.4,89,7' 5'',110.5,9' 2.5'',13.4,9.25,9
2011-12,,202696,Nikola,Vucevic,Nikola Vucevic,PF-C,82.25,6' 10.25'',83.75,6' 11.75'',259.8,88.5,7' 4.5'',112.5,9' 4.5'',6.1,9.25,10.25
2011-12,,202689,Kemba,Walker,Kemba Walker,PG,71.5,5' 11.5'',73,6' 1'',184,75.5,6' 3.5'',91.5,7' 7.5'',5.9,8,9
2011-12,,202682,Derrick,Williams,Derrick Williams,PF-SF,79.25,6' 7.25'',80.75,6' 8.75'',248.4,85.5,7' 1.5'',108,9' 0'',10.8,9,9.75
2011-12,,202716,Jordan,Williams,Jordan Williams,PF,79.75,6' 7.75'',81,6' 9'',247.2,84.25,7' 0.25'',106.5,8' 10.5'',12.1,9.25,10
2012-13,,203112,Quincy,Acy,Quincy Acy,PF,78.5,6' 6.5'',79.75,6' 7.75'',223.8,86.75,7' 2.75'',106.5,8' 10.5'',7.1,9.5,11
2012-13,,203084,Harrison,Barnes,Harrison Barnes,SF-SG,79,6' 7'',80,6' 8'',227.8,83.25,6' 11.25'',101.5,8' 5.5'',9.6,9,8.5
2012-13,,203115,Will,Barton,Will Barton,SG-SF,77,6' 5'',78,6' 6'',174.4,81.75,6' 9.75'',102.5,8' 6.5'',4.1,9,9.5
2012-13,,203078,Bradley,Beal,Bradley Beal,SG,75.25,6' 3.25'',76.75,6' 4.75'',201.8,80,6' 8'',100,8' 4'',6,8.5,9
2012-13,,12458,J'Covan,Brown,J'Covan Brown,PG,73,6' 1'',74.25,6' 2.25'',202.4,77.25,6' 5.25'',96,8' 0'',12.5,7.75,8.25
2012-13,,203733,William,Buford,William Buford,SG-SF,76,6' 4'',77,6' 5'',214.6,81.5,6' 9.5'',102,8' 6'',11.3,8.75,10
2012-13,,203109,Jae,Crowder,Jae Crowder,SF,76.75,6' 4.75'',78.5,6' 6.5'',241.2,81.25,6' 9.25'',99.5,8' 3.5'',9,9.5,10.5
2012-13,,203099,Jared,Cunningham,Jared Cunningham,SG-PG,75.5,6' 3.5'',77,6' 5'',187.6,78.5,6' 6.5'',98,8' 2'',3.6,8.25,9
2012-13,,203076,Anthony,Davis,Anthony Davis,PF-C,81.25,6' 9.25'',82.5,6' 10.5'',221.8,89.5,7' 5.5'',108,9' 0'',7.9,9,8.5
2012-13,,203134,Marcus,Denmon,Marcus Denmon,SG,74.25,6' 2.25'',75.25,6' 3.25'',188.2,77,6' 5'',94.5,7' 10.5'',6.6,8.25,9.75
2012-13,,203083,Andre,Drummond,Andre Drummond,C,81.75,6' 9.75'',83.75,6' 11.75'',278.6,90.25,7' 6.25'',109.5,9' 1.5'',7.5,9.5,9.5
2012-13,,203119,Kim,English,Kim English,SG,76.5,6' 4.5'',77.75,6' 5.75'',192,78.5,6' 6.5'',98,8' 2'',4.3,8.5,8.75
2012-13,,203105,Festus,Ezeli,Festus Ezeli,C-PF,81.75,6' 9.75'',83.5,6' 11.5'',264.2,89.75,7' 5.75'',108,9' 0'',5.5,9,10.75
2012-13,,12467,Drew,Gordon,Drew Gordon,PF,80,6' 8'',80.75,6' 8.75'',239,83.5,6' 11.5'',103.5,8' 7.5'',9.1,8.5,9.75
2012-13,,203110,Draymond,Green,Draymond Green,PF-SF,77.75,6' 5.75'',79.5,6' 7.5'',235.6,85.25,7' 1.25'',105,8' 9'',11.3,9,9.5
2012-13,,203254,JaMychal,Green,JaMychal Green,PF,80,6' 8'',81,6' 9'',217.4,86.25,7' 2.25'',106.5,8' 10.5'',9.8,9.25,9.25
2012-13,,203090,Maurice,Harkless,Maurice Harkless,SF,79.25,6' 7.25'',80.75,6' 8.75'',206.6,84,7' 0'',102.5,8' 6.5'',5.3,9.25,10.25
2012-13,,203089,John,Henson,John Henson,PF,81,6' 9'',82.5,6' 10.5'',216,89,7' 5'',112,9' 4'',8.6,9.25,10
2012-13,,203189,Tu,Holloway,Tu Holloway,PG,70.5,5' 10.5'',71.75,5' 11.75'',186.8,77.5,6' 5.5'',94.5,7' 10.5'',8.5,8.75,10
2012-13,,203133,Robbie,Hummel,Robbie Hummel,SF,79.25,6' 7.25'',80.5,6' 8.5'',218,80.5,6' 8.5'',102,8' 6'',9.4,8.5,9.5
2012-13,,203108,Bernard,James,Bernard James,PF,80.75,6' 8.75'',82,6' 10'',229.8,87,7' 3'',108.5,9' 0.5'',5,9,9.25
2012-13,,203098,John,Jenkins,John Jenkins,SG,75.25,6' 3.25'',76.25,6' 4.25'',212,80.5,6' 8.5'',98,8' 2'',7.1,9,9
2012-13,,203111,Orlando,Johnson,Orlando Johnson,SG,75.75,6' 3.75'',77.25,6' 5.25'',223.8,83.25,6' 11.25'',99,8' 3'',7,9,9.5
2012-13,,203130,Darius,Johnson-Odom,Darius Johnson-Odom,SG,73.5,6' 1.5'',75,6' 3'',212,79,6' 7'',96,8' 0'',7,8.75,8.75
2012-13,,203093,Terrence,Jones,Terrence Jones,PF-SF,80.25,6' 8.25'',81.5,6' 9.5'',252,86.25,7' 2.25'',107,8' 11'',7.7,9,10
2012-13,,203103,Perry,Jones,Perry Jones,PF-SF,82.25,6' 10.25'',83.25,6' 11.25'',233.8,85.75,7' 1.75'',107,8' 11'',4.6,9.25,9.5
2012-13,,203158,Kevin,Jones,Kevin Jones,PF,78.25,6' 6.25'',79.5,6' 7.5'',251.2,85.5,7' 1.5'',105,8' 9'',11.2,9,7.75
2012-13,,203126,Kris,Joseph,Kris Joseph,SG,78,6' 6'',79,6' 7'',215,83,6' 11'',104,8' 8'',8.6,9,9
2012-13,,203077,Michael,Kidd-Gilchrist,Michael Kidd-Gilchrist,SF,77.75,6' 5.75'',79.5,6' 7.5'',232.8,84,7' 0'',104.5,8' 8.5'',7,9,10.25
2012-13,,203087,Jeremy,Lamb,Jeremy Lamb,SG,76,6' 4'',77.25,6' 5.25'',179.2,83,6' 11'',102,8' 6'',4.5,8.75,9.25
2012-13,,203117,Doron,Lamb,Doron Lamb,SG-PG,75.25,6' 3.25'',76.75,6' 4.75'',199.4,78.75,6' 6.75'',98.5,8' 2.5'',6.7,8.5,8.75
2012-13,,203086,Meyers,Leonard,Meyers Leonard,C,83.75,6' 11.75'',85.25,7' 1.25'',249.8,87,7' 3'',108,9' 0'',5.7,9.25,11
2012-13,,203081,Damian,Lillard,Damian Lillard,PG,73.75,6' 1.75'',74.75,6' 2.75'',188.8,79.75,6' 7.75'',95.5,7' 11.5'',5.9,8.75,9.75
2012-13,,203159,Scott,Machado,Scott Machado,PG,73,6' 1'',74,6' 2'',205.8,76,6' 4'',94.5,7' 10.5'',5.8,8.5,9.5
2012-13,,203088,Kendall,Marshall,Kendall Marshall,PG,75.25,6' 3.25'',76.25,6' 4.25'',198.4,77.5,6' 5.5'',96,8' 0'',7.8,8.5,9
2012-13,,203097,Fab,Melo,Fab Melo,C,82.75,6' 10.75'',84,7' 0'',255,86.5,7' 2.5'',110,9' 2'',9.2,9,10
2012-13,,203114,Khris,Middleton,Khris Middleton,SF,78.75,6' 6.75'',80.25,6' 8.25'',216.2,82.75,6' 10.75'',103,8' 7'',7.8,9,9
2012-13,,203113,Quincy,Miller,Quincy Miller,SF,80.75,6' 8.75'',82,6' 10'',218.7,85.25,7' 1.25'',105,8' 9'',7.8,9.25,10.25
2012-13,,203121,Darius,Miller,Darius Miller,SF-SG,78,6' 6'',79.5,6' 7.5'',233.4,81,6' 9'',101,8' 5'',7.5,8.5,8.75
2012-13,,203183,Tony,Mitchell,Tony Mitchell,SG,77.25,6' 5.25'',78.25,6' 6.25'',216.4,82,6' 10'',100,8' 4'',5.7,8.5,10
2012-13,,203102,Arnett,Moultrie,Arnett Moultrie,PF,81.5,6' 9.5'',82.75,6' 10.75'',232.8,86.25,7' 2.25'',106.5,8' 10.5'',7.7,9.25,9.25
2012-13,,203122,Kevin,Murphy,Kevin Murphy,SG,77,6' 5'',78.25,6' 6.25'',194,78.75,6' 6.75'',99,8' 3'',5.8,8.5,8.5
2012-13,,203094,Andrew,Nicholson,Andrew Nicholson,PF,80.5,6' 8.5'',81.5,6' 9.5'',234,88,7' 4'',107,8' 11'',7.6,10,10.75
2012-13,,203124,Kyle,O'Quinn,Kyle O'Quinn,PF,80.5,6' 8.5'',82,6' 10'',240.8,88.75,7' 4.75'',106.5,8' 10.5'',8,9.5,10
2012-13,,203101,Miles,Plumlee,Miles Plumlee,PF-C,82.5,6' 10.5'',83.75,6' 11.75'',252.4,84.75,7' 0.75'',105.5,8' 9.5'',11.4,9.25,9
2012-13,,203085,Austin,Rivers,Austin Rivers,SG-PG,75.5,6' 3.5'',77,6' 5'',202.8,79.25,6' 7.25'',96.5,8' 0.5'',6.2,8.5,10
2012-13,,203080,Thomas,Robinson,Thomas Robinson,PF,79.75,6' 7.75'',80.75,6' 8.75'',244.2,87.25,7' 3.25'',106,8' 10'',5,9.75,10.5
2012-13,,203082,Terrence,Ross,Terrence Ross,SG-SF,78,6' 6'',79,6' 7'',196.6,79.25,6' 7.25'',100.5,8' 4.5'',3.2,8.75,10.25
2012-13,,203107,Tomas,Satoransky,Tomas Satoransky,PG-SG,78.5,6' 6.5'',79.5,6' 7.5'',200.6,79.25,6' 7.25'',100,8' 4'',5.2,8.5,9.5
2012-13,,203118,Mike,Scott,Mike Scott,PF,79.25,6' 7.25'',80.75,6' 8.75'',240.8,82.75,6' 10.75'',104,8' 8'',10.6,8.5,9
2012-13,,203156,Henry,Sims,Henry Sims,C-PF,82,6' 10'',83.75,6' 11.75'',241.2,88,7' 4'',108,9' 0'',7.7,9.25,10
2012-13,,203096,Jared,Sullinger,Jared Sullinger,PF,79.75,6' 7.75'',81,6' 9'',268.2,85.25,7' 1.25'',105.5,8' 9.5'',10.7,9.25,9.75
2012-13,,12507,Jordan,Taylor,Jordan Taylor,PG,73,6' 1'',74,6' 2'',192.8,75,6' 3'',92.5,7' 8.5'',5.5,8.25,9.5
2012-13,,203106,Jeff,Taylor,Jeff Taylor,SF-SG,78,6' 6'',79.25,6' 7.25'',212.8,78.25,6' 6.25'',101.5,8' 5.5'',4.2,8.25,9.75
2012-13,,203116,Tyshawn,Taylor,Tyshawn Taylor,PG,74.75,6' 2.75'',76,6' 4'',177,78.25,6' 6.25'',97.5,8' 1.5'',4.2,8.75,8.75
2012-13,,203104,Marquis,Teague,Marquis Teague,PG,73,6' 1'',74,6' 2'',179.8,79.25,6' 7.25'',96.5,8' 0.5'',6.3,8.25,7.75
2012-13,,203138,Hollis,Thompson,Hollis Thompson,SF,78.75,6' 6.75'',80,6' 8'',206,81.5,6' 9.5'',102.5,8' 6.5'',6,8.25,9.75
2012-13,,203079,Dion,Waiters,Dion Waiters,SG,74.5,6' 2.5'',76,6' 4'',221,79.25,6' 7.25'',98,8' 2'',8.5,8.5,9.5
2012-13,,203091,Royce,White,Royce White,PF,79,6' 7'',80,6' 8'',260.6,84,7' 0'',104.5,8' 8.5'',10.6,9.5,11.5
2012-13,,203100,Tony,Wroten,Tony Wroten,PG,76.75,6' 4.75'',78,6' 6'',203.2,81,6' 9'',101,8' 5'',5.2,8,9
2012-13,,203092,Tyler,Zeller,Tyler Zeller,PF-C,83.25,6' 11.25'',84.5,7' 0.5'',247.4,84,7' 0'',104.5,8' 8.5'',6.4,9,9.75
2013-14,,203500,Steven,Adams,Steven Adams,C,82.75,6' 10.75'',84,7' 0'',254.5,88.5,7' 4.5'',109.5,9' 1.5'',6.65,9.5,11
2013-14,,203505,Vander,Blue,Vander Blue,SG,75.5,6' 3.5'',77.25,6' 5.25'',197.4,78,6' 6'',100.5,8' 4.5'',4.6,8.5,9.5
2013-14,,203485,Lorenzo,Brown,Lorenzo Brown,PG,76,6' 4'',77.25,6' 5.25'',189.2,79,6' 7'',100,8' 4'',3.95,8.25,8.5
2013-14,,203493,Reggie,Bullock,Reggie Bullock,SG-SF,77.75,6' 5.75'',79,6' 7'',199.8,80.75,6' 8.75'',102,8' 6'',6.95,8.5,9
2013-14,,203504,Trey,Burke,Trey Burke,PG,71.75,5' 11.75'',73.25,6' 1.25'',187,77.5,6' 5.5'',97.5,8' 1.5'',6.9,8.25,8.75
2013-14,,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,SG,76.5,6' 4.5'',77.5,6' 5.5'',203.6,80,6' 8'',100.5,8' 4.5'',6.45,8.5,9
2013-14,,203477,Isaiah,Canaan,Isaiah Canaan,PG,71,5' 11'',72,6' 0'',188.4,76.5,6' 4.5'',94.5,7' 10.5'',5.9,8.25,9.5
2013-14,,203478,Jackie,Carmichael,Jackie Carmichael,PF,79.5,6' 7.5'',81,6' 9'',241.2,85.5,7' 1.5'',107,8' 11'',5.8,9,10.25
2013-14,,203487,Michael,Carter-Williams,Michael Carter-Williams,PG,76.75,6' 4.75'',77.75,6' 5.75'',184.4,79.25,6' 7.25'',101,8' 5'',4.4,7.5,8.5
2013-14,,12524,Will,Clyburn,Will Clyburn,SF-SG,77.75,6' 5.75'',79,6' 7'',210.4,84.25,7' 0.25'',105,8' 9'',6.85,9.25,10.25
2013-14,,203496,Robert,Covington,Robert Covington,SF-PF,78.25,6' 6.25'',79.5,6' 7.5'',208.6,85.75,7' 1.75'',106,8' 10'',4.7,9,8.5
2013-14,,203459,Allen,Crabbe,Allen Crabbe,SG,77.25,6' 5.25'',78.25,6' 6.25'',197.4,83.25,6' 11.25'',103.5,8' 7.5'',4.65,8.25,8.5
2013-14,,203552,Seth,Curry,Seth Curry,SG,73,6' 1'',75,6' 3'',179.2,76,6' 4'',97.5,8' 1.5'',9.6,8,8.25
2013-14,,203561,Brandon,Davies,Brandon Davies,PF,80.5,6' 8.5'',82.25,6' 10.25'',241.8,85.5,7' 1.5'',108.5,9' 0.5'',8.6,9,11
2013-14,,203473,Dewayne,Dedmon,Dewayne Dedmon,C,82,6' 10'',83.5,6' 11.5'',238.8,88,7' 4'',109,9' 1'',8.35,9,11
2013-14,,203476,Gorgui,Dieng,Gorgui Dieng,C,81.75,6' 9.75'',82.75,6' 10.75'',229.6,87.5,7' 3.5'',111.5,9' 3.5'',5.35,9,10
2013-14,,203516,James,Ennis,James Ennis,SF,77.75,6' 5.75'',79,6' 7'',200.8,83.5,6' 11.5'',104.5,8' 8.5'',4.5,8.5,8.75
2013-14,,203467,Carrick,Felix,Carrick Felix,SF-SG,76.75,6' 4.75'',78.25,6' 6.25'',202.6,81.25,6' 9.25'',103.5,8' 7.5'',3.3,8.5,9.5
2013-14,,203479,Jamaal,Franklin,Jamaal Franklin,SG-SF,76,6' 4'',77.25,6' 5.25'',190.8,83.25,6' 11.25'',103.5,8' 7.5'',8.25,8.5,8.25
2013-14,,203497,Rudy,Gobert,Rudy Gobert,C,84.5,7' 0.5'',86,7' 2'',237.6,92.5,7' 8.5'',115,9' 7'',4.4,9.75,10
2013-14,,203462,Archie,Goodwin,Archie Goodwin,SG,75.75,6' 3.75'',77.25,6' 5.25'',189,81.5,6' 9.5'',102,8' 6'',4.55,8.5,9
2013-14,,203475,Erick,Green,Erick Green,PG,73.5,6' 1.5'',75,6' 3'',178.2,77.75,6' 5.75'',98,8' 2'',4.35,8.5,9
2013-14,,203501,Tim,Hardaway Jr.,Tim Hardaway Jr.,SG,76.5,6' 4.5'',78.25,6' 6.25'',199.4,79,6' 7'',101,8' 5'',6.05,8,9.25
2013-14,,203524,Solomon,Hill,Solomon Hill,SF,77.5,6' 5.5'',79,6' 7'',226,81,6' 9'',103,8' 7'',7.6,9,10.5
2013-14,,203494,Richard,Howell,Richard Howell,PF,78.25,6' 6.25'',79.5,6' 7.5'',249.6,82.25,6' 10.25'',105.5,8' 9.5'',8.75,8.75,9.5
2013-14,,203470,Colton,Iverson,Colton Iverson,C,82.5,6' 10.5'',84,7' 0'',262.8,86,7' 2'',110,9' 2'',9.6,9.25,9.5
2013-14,,203510,Pierre,Jackson,Pierre Jackson,PG,69.5,5' 9.5'',70.5,5' 10.5'',176,70,5' 10'',90,7' 6'',4.5,7.5,8.25
2013-14,,203511,Grant,Jerrett,Grant Jerrett,PF,80.75,6' 8.75'',82.25,6' 10.25'',232,86,7' 2'',109,9' 1'',10.05,8.5,9.25
2013-14,,203509,Myck,Kabongo,Myck Kabongo,PG,73.25,6' 1.25'',74.75,6' 2.75'',180.4,78.25,6' 6.25'',98,8' 2'',6,8.25,9
2013-14,,203483,Kenny,Kadji,Kenny Kadji,PF-C,80.75,6' 8.75'',82,6' 10'',241.6,87,7' 3'',106.5,8' 10.5'',7.45,9,10.25
2013-14,,203527,Ryan,Kelly,Ryan Kelly,PF,81.75,6' 9.75'',83.75,6' 11.75'',228,83.5,6' 11.5'',110,9' 2'',14.75,9,10
2013-14,,203499,Shane,Larkin,Shane Larkin,PG,70.25,5' 10.25'',71.5,5' 11.5'',170.8,70.75,5' 10.75'',89.5,7' 5.5'',3.8,7.5,8.75
2013-14,,203495,Ricky,Ledo,Ricky Ledo,SG,76.75,6' 4.75'',78,6' 6'',197.2,79.25,6' 7.25'',102.5,8' 6.5'',10.25,8.5,9.25
2013-14,,203458,Alex,Len,Alex Len,C,,,,,,87.5,7' 3.5'',,,6.4,9,10.75
2013-14,,203466,CJ,Leslie,CJ Leslie,PF-SF,79.5,6' 7.5'',80.75,6' 8.75'',209.2,86.25,7' 2.25'',104.5,8' 8.5'',7.95,8.75,9
2013-14,,203522,Trevor,Mbakwe,Trevor Mbakwe,PF,78.75,6' 6.75'',80,6' 8'',235.8,88,7' 4'',106.5,8' 10.5'',5.9,9.5,11.5
2013-14,,203492,Ray,McCallum,Ray McCallum,PG,72.25,6' 0.25'',73.75,6' 1.75'',191.4,75.25,6' 3.25'',96.5,8' 0.5'',7.3,8,8.75
2013-14,,203468,CJ,McCollum,CJ McCollum,PG-SG,74.25,6' 2.25'',75.25,6' 3.25'',197,78.25,6' 6.25'',96.5,8' 0.5'',8.6,8,9.5
2013-14,,203463,Ben,McLemore,Ben McLemore,SG,75.5,6' 3.5'',76.75,6' 4.75'',189.2,79.75,6' 7.75'',100.5,8' 4.5'',5,8.75,9.5
2013-14,,203502,Tony,Mitchell,Tony Mitchell,PF-SF,79.5,6' 7.5'',80.75,6' 8.75'',236.4,86.5,7' 2.5'',106.5,8' 10.5'',5.55,9,10
2013-14,,203498,Shabazz,Muhammad,Shabazz Muhammad,SF-SG,76.75,6' 4.75'',78.25,6' 6.25'',221.8,83,6' 11'',104.5,8' 8.5'',9,9,10
2013-14,,203513,Erik,Murphy,Erik Murphy,PF,80.75,6' 8.75'',81.5,6' 9.5'',239.8,82.5,6' 10.5'',108,9' 0'',7.95,8.75,9.75
2013-14,,203488,Mike,Muscala,Mike Muscala,C-PF,82.25,6' 10.25'',83.5,6' 11.5'',230.2,85,7' 1'',108,9' 0'',6.8,8.5,9
2013-14,,203457,Nerlens,Noel,Nerlens Noel,C,82,6' 10'',83.75,6' 11.75'',206.4,87.75,7' 3.75'',110,9' 2'',4.15,9.5,10
2013-14,,203506,Victor,Oladipo,Victor Oladipo,SG,75.25,6' 3.25'',76.25,6' 4.25'',213.2,81.25,6' 9.25'',100.5,8' 4.5'',6.55,8.75,9.25
2013-14,,203482,Kelly,Olynyk,Kelly Olynyk,PF-C,82.75,6' 10.75'',84,7' 0'',234,81.75,6' 9.75'',108,9' 0'',6.65,8.5,10
2013-14,,203464,Brandon,Paul,Brandon Paul,SG,74.75,6' 2.75'',76,6' 4'',201,82.25,6' 10.25'',98,8' 2'',5.25,8.5,9.5
2013-14,,203658,Norvel,Pelle,Norvel Pelle,PF-C,81.5,6' 9.5'',82.5,6' 10.5'',207.2,86.5,7' 2.5'',109,9' 1'',5.15,8.75,9.5
2013-14,,203486,Mason,Plumlee,Mason Plumlee,C-PF,83.25,6' 11.25'',84.5,7' 0.5'',238.2,83,6' 11'',108,9' 0'',6.15,9.75,9.5
2013-14,,203490,Otto,Porter,Otto Porter,SF,79.5,6' 7.5'',80.5,6' 8.5'',197.6,85.5,7' 1.5'',105.5,8' 9.5'',6.65,8.75,9.25
2013-14,,203515,Phil,Pressey,Phil Pressey,PG,69.5,5' 9.5'',71.5,5' 11.5'',177,74.25,6' 2.25'',92,7' 8'',4.7,7.75,9.75
2013-14,,203318,Glen,Rice,Glen Rice,SF-SG,76.5,6' 4.5'',77.75,6' 5.75'',210.8,81.25,6' 9.25'',101.5,8' 5.5'',8.45,8.5,9
2013-14,,203460,Andre,Roberson,Andre Roberson,PF-SF,78.25,6' 6.25'',79,6' 7'',205.8,83,6' 11'',104.5,8' 8.5'',7.05,8.75,9.5
2013-14,,203471,Dennis,Schroder,Dennis Schroder,PG,73,6' 1'',74,6' 2'',164.8,79.75,6' 7.75'',98,8' 2'',4.1,8.75,10.5
2013-14,,203491,Peyton,Siva,Peyton Siva,PG,71.5,5' 11.5'',73,6' 1'',180.6,75,6' 3'',93,7' 9'',6.05,8,9.75
2013-14,,203503,Tony,Snell,Tony Snell,SF-SG,78,6' 6'',79.25,6' 7.25'',198.2,83.5,6' 11.5'',105.5,8' 9.5'',4.85,9,9.5
2013-14,,203480,James,Southerland,James Southerland,SF-PF,79,6' 7'',80,6' 8'',220.6,85,7' 1'',106,8' 10'',8.05,8,9.5
2013-14,,203472,Deshaun,Thomas,Deshaun Thomas,SF,77,6' 5'',79,6' 7'',219.8,82,6' 10'',104,8' 8'',9.1,8,8.75
2013-14,,203519,Adonis,Thomas,Adonis Thomas,SF,76.75,6' 4.75'',77.75,6' 5.75'',231.8,85,7' 1'',99,8' 3'',7.5,9.25,9.5
2013-14,,203481,Jeff,Withey,Jeff Withey,C,82.75,6' 10.75'',84.5,7' 0.5'',221.8,86,7' 2'',110.5,9' 2.5'',8.65,9,9.75
2013-14,,203489,Nate,Wolters,Nate Wolters,PG,75.5,6' 3.5'',76.75,6' 4.75'',196.4,75.75,6' 3.75'',98,8' 2'',5.5,8.25,8.75
2013-14,,203523,BJ,Young,BJ Young,SG-PG,74.25,6' 2.25'',75.5,6' 3.5'',178.8,80.25,6' 8.25'',99,8' 3'',4.7,8.5,9.5
2013-14,,203469,Cody,Zeller,Cody Zeller,C-PF,82.75,6' 10.75'',84.25,7' 0.25'',230,82.75,6' 10.75'',106,8' 10'',4.75,8.5,10.5
2014-15,14000,203919,Jordan,Adams,Jordan Adams,SG,75.5,6' 3.5'',76.75,6' 4.75'',208.8,82,6' 10'',102,8' 6'',10.8,8.5,7.5
2014-15,14001,203937,Kyle,Anderson,Kyle Anderson,SF,79.5,6' 7.5'',80.5,6' 8.5'',230.1,86.75,7' 2.75'',107.5,8' 11.5'',13.35,8.25,8.75
2014-15,14002,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,SF,77.25,6' 5.25'',78.25,6' 6.25'',205.2,84,7' 0'',104.5,8' 8.5'',6.05,9,9.75
2014-15,14004,203947,Jordan,Bachynski,Jordan Bachynski,PF,85.25,7' 1.25'',86,7' 2'',254.1,88,7' 4'',108.5,9' 0.5'',7.45,9.25,10
2014-15,14005,203946,Cameron,Bairstow,Cameron Bairstow,PF,80.75,6' 8.75'',81.75,6' 9.75'',252.4,84.75,7' 0.75'',107,8' 11'',8.7,8.75,9
2014-15,14006,203920,Khem,Birch,Khem Birch,PF,79.5,6' 7.5'',81.25,6' 9.25'',208.8,85,7' 1'',107,8' 11'',6,9,8.5
2014-15,14008,203900,Markel,Brown,Markel Brown,SG,74.5,6' 2.5'',75.5,6' 3.5'',184.4,80.75,6' 8.75'',100,8' 4'',4.2,8.25,9.75
2014-15,14007,203913,Jabari,Brown,Jabari Brown,SG,75,6' 3'',76.25,6' 4.25'',201.9,80.25,6' 8.25'',100,8' 4'',6.05,9,9.25
2014-15,14062,203938,Alec,Brown,Alec Brown,PF,84.25,7' 0.25'',85.25,7' 1.25'',231.2,85.5,7' 1.5'',109,9' 1'',7.7,9.25,8.75
2014-15,14009,203907,Deonte,Burton,Deonte Burton,PG,72,6' 0'',73.25,6' 1.25'',192.8,79,6' 7'',97.5,8' 1.5'',7.65,8.25,8
2014-15,14011,203902,Semaj,Christon,Semaj Christon,PG,73.5,6' 1.5'',75.25,6' 3.25'',186,78.5,6' 6.5'',99,8' 3'',5.25,8.5,8.25
2014-15,14012,203903,Jordan,Clarkson,Jordan Clarkson,PG,75.25,6' 3.25'',77,6' 5'',186.3,80,6' 8'',98,8' 2'',4.3,8.25,9
2014-15,14013,203905,Aaron,Craft,Aaron Craft,PG,72.75,6' 0.75'',73.75,6' 1.75'',191.6,74,6' 2'',94.5,7' 10.5'',6.1,7.75,8.5
